SERVICE CODES,CLASS,SERVCIE NAME,Service Indication,Rate Card Type,Category
LBDBLEFT,General Services ,DETAN -FEET ,STANDARD SERVICE,STANDARD RATE CARD,DETAN
LBDBLEHA,General Services ,DETAN -HALF ARMS ,STANDARD SERVICE,STANDARD RATE CARD,DETAN
LBDBLEFA,General Services ,DETAN -FULL ARMS ,STANDARD SERVICE,STANDARD RATE CARD,DETAN
LBDBLEHL,General Services ,DETAN -HALF LEGS ,STANDARD SERVICE,STANDARD RATE CARD,DETAN
LBDBLEFL,General Services ,DETAN -FULL LEGS ,STANDARD SERVICE,STANDARD RATE CARD,DETAN
LBDBLEUB,General Services ,DETAN -LOWER/UPPER BACK ,STANDARD SERVICE,STANDARD RATE CARD,DETAN
LBDBLEFB,General Services ,DETAN -FULL BACK ,STANDARD SERVICE,STANDARD RATE CARD,DETAN
LBDBLEBO,General Services ,DETAN -FULL BODY ,STANDARD SERVICE,STANDARD RATE CARD,DETAN
LBPRWALB,General Services ,RICA PREMIUM WAXING LOWER BACK,STANDARD SERVICE,STANDARD RATE CARD, PREMIUM WAXING
LBPRWASI,General Services ,RICA PREMIUM WAXING SIDES,STANDARD SERVICE,STANDARD RATE CARD, PREMIUM WAXING
LBPRWAHA,General Services ,RICA PREMIUM WAXING HALF ARMS,STANDARD SERVICE,STANDARD RATE CARD, PREMIUM WAXING
LBPRWAHL,General Services ,RICA PREMIUM WAXING HALF LEGS,STANDARD SERVICE,STANDARD RATE CARD, PREMIUM WAXING
LBPRWAFL,General Services ,RICA PREMIUM WAXING FULL LEGS,STANDARD SERVICE,STANDARD RATE CARD, PREMIUM WAXING
LBPRWAUP,General Services ,RICA PREMIUM WAXING UPPERLIP,STANDARD SERVICE,STANDARD RATE CARD, PREMIUM WAXING
LBPRWAUA,General Services ,RICA PREMIUM WAXING UNDER ARMS,STANDARD SERVICE,STANDARD RATE CARD, PREMIUM WAXING
LBPRWABO,General Services ,RICA PREMIUM WAXING BODY,STANDARD SERVICE,STANDARD RATE CARD, PREMIUM WAXING
LBPRWAFA,General Services ,RICA PREMIUM WAXING FULL ARMS,STANDARD SERVICE,STANDARD RATE CARD, PREMIUM WAXING
LBPRWAFF,General Services ,RICA PREMIUM WAXING FULL FACE,STANDARD SERVICE,STANDARD RATE CARD, PREMIUM WAXING
LHFVHSSH,Loreal Hair Treatment,FORCE VECTOR - HAIR STRENGTHENING TREATMENT  SHORT,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,"ADV,HAIR TMT "
LHFVHSME,Loreal Hair Treatment,FORCE VECTOR - HAIR STRENGTHENING TREATMENT  MEDIUM,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,"ADV,HAIR TMT "
LHFVHSLO,Loreal Hair Treatment,FORCE VECTOR - HAIR STRENGTHENING TREATMENT  LONG,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,"ADV,HAIR TMT "
LHCRDHSH,Loreal Hair Treatment,CELLULAR REPAIR - DRY AND DAMAGED HAIR REPAIR TREATMENT  SHORT,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,"ADV,HAIR TMT "
LHCRDHME,Loreal Hair Treatment,CELLULAR REPAIR  - DRY AND DAMAGED HAIR REPAIR TREATMENT MEDIUM,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,"ADV,HAIR TMT "
LHCRDHLO,Loreal Hair Treatment,CELLULAR REPAIR  - DRY AND DAMAGED HAIR REPAIR TREATMENT LONG,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,"ADV,HAIR TMT "
LHPOCSSH,Loreal Hair Treatment,POWER DOSE - COLOR SHINE TREATMENT SHORT,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,"ADV,HAIR TMT "
LHPOCSME,Loreal Hair Treatment,POWER DOSE - COLOR SHINE TREATMENT MEDIUM,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,"ADV,HAIR TMT "
LHPOCSLO,Loreal Hair Treatment,POWER DOSE - COLOR SHINE TREATMENT LONG,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,"ADV,HAIR TMT "
LHDANDSH,Loreal Hair Treatment,DANDRUFF TREATMENT SHORT,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,"ADV,HAIR TMT "
LHDANDME,Loreal Hair Treatment,DANDRUFF TREATMENT MEDIUM,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,"ADV,HAIR TMT "
LHDANDLO,Loreal Hair Treatment,DANDRUFF TREATMENT LONG,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,"ADV,HAIR TMT "
LHDAOSSH,Loreal Hair Treatment,DANDRUFF TREATMENT FOR OILY SCALP SHORT,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,"ADV,HAIR TMT "
LHDAOSME,Loreal Hair Treatment,DANDRUFF TREATMENT FOR OILY SCALP MEDIUM,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,"ADV,HAIR TMT "
LHDAOSLO,Loreal Hair Treatment,DANDRUFF TREATMENT FOR OILY SCALP LONG,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,"ADV,HAIR TMT "
LHDASSSH,Loreal Hair Treatment,DANDRUFF TREATMENT FOR SENSITIVE SCALP SHORT,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,"ADV,HAIR TMT "
LHDASSME,Loreal Hair Treatment,DANDRUFF TREATMENT FOR SENSITIVE SCALP MEDIUM,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,"ADV,HAIR TMT "
LHDASSLO,Loreal Hair Treatment,DANDRUFF TREATMENT FOR SENSITIVE SCALP LONG,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,"ADV,HAIR TMT "
LHFRRFDO,Loreal Hair Treatment,FORCE REFILL - 1 DOSE - LADIES,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,"ADV,HAIR TMT "
LHPOCODO,Loreal Hair Treatment,POWER DOSE COLOUR- 1 DOSE - LADIES,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,"ADV,HAIR TMT "
LHPOCRDO,Loreal Hair Treatment,POWER CELL REPAIR- 1 DOSE - LADIES,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,"ADV,HAIR TMT "
LHRENCDO,Loreal Hair Treatment,RENEW C - 1 DOSE - LADIES,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,"ADV,HAIR TMT "
LHMYSMSH,Mythic oil ,MYTHIC SHINE MAGIC - SHORT ,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHMYSMME,Mythic oil ,MYTHIC SHINE MAGIC - MEDIUM,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHMYSMLO,Mythic oil ,MYTHIC SHINE MAGIC - LONG,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHMYRMSH,Mythic oil ,MYTHIC REPAIR MAGIC - SHORT ,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHMYRMME,Mythic oil ,MYTHIC REPAIR MAGIC - MEDIUM,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHMYRMLO,Mythic oil ,MYTHIC REPAIR MAGIC - LONG,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHMYSHSH,Mythic oil ,MYTHIC SMOOTH MAGIC - SHORT ,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHMYSHME,Mythic oil ,MYTHIC SMOOTH MAGIC - MEDIUM,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHMYSHLO,Mythic oil ,MYTHIC SMOOTH MAGIC - LONG,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHWEXTSH,Wella SP - Treatment,EXPRESS TREATMENT - SHORT ,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHWEXTME,Wella SP - Treatment,EXPRESS TREATMENT - MEDIUM,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHWEXTLO,Wella SP - Treatment,EXPRESS TREATMENT - LONG,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHWINSSH,Wella SP - Treatment,INTENSIVE SPA TREATMENT - SHORT,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHWINSME,Wella SP - Treatment,INTENSIVE SPA TREATMENT - MEDIUM,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHWINSLO,Wella SP - Treatment,INTENSIVE SPA TREATMENT - LONG,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHWALSSH,Wella SP - Treatment,ALCHEMY SPA TREATMENT (INCLUDING INFUSION) - SHORT,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHWALSME,Wella SP - Treatment,ALCHEMY SPA TREATMENT (INCLUDING INFUSION) - MEDIUM,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHWALSLO,Wella SP - Treatment,ALCHEMY SPA TREATMENT (INCLUDING INFUSION) - LONG,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHWINFUB,Wella SP - Treatment,WELLA SP - INFUSION - FULL BOTTLE,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHWINHAB,Wella SP - Treatment,WELLA SP - INFUSION - HALF BOTTLE,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHSTNGSH,Straight Therapy,STRAIGHT THERPAHY  SHORT ,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADVANCED STYLING
LHSTNGME,Straight Therapy,STRAIGHT THERPAHY MEDIUM,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADVANCED STYLING
LHSTNGLG,Straight Therapy,STRAIGHT THERPAHY  LONG,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADVANCED STYLING
LOLDSPMA,Bridal,ELITE - DIAMOND SPARKLE - MAC,EXCLUSIVE SERVICE,STANDARD RATE CARD,BRIDAL PACKAGE 
LOSPSHMA,Bridal,ELITE - PLATINUM SHEEN - MAC,EXCLUSIVE SERVICE,STANDARD RATE CARD,BRIDAL PACKAGE 
LSOGGPMA,Bridal,ROYAL GOLDEN GLOW PACKAGE - MAC,EXCLUSIVE SERVICE,STANDARD RATE CARD,BRIDAL PACKAGE 
LORSLHMA,Bridal,PREMIUM - SLIVER HIGHLIGHT -MAC ,EXCLUSIVE SERVICE,STANDARD RATE CARD,BRIDAL PACKAGE 
LORSELMA,Bridal,PREMIUM - SAPPHIRE ELEGANCE - MAC,EXCLUSIVE SERVICE,STANDARD RATE CARD,BRIDAL PACKAGE 
LOLGGIMA,Bridal,CLASSIC - GORGEOUS GIRL - MAC,EXCLUSIVE SERVICE,STANDARD RATE CARD,BRIDAL PACKAGE 
LHDERENS,NIOXIN,Derma Renew  - Short,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHDERENM,NIOXIN,Derma Renew - Medium,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHDERENL,NIOXIN,Derma Renew -Long ,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHDEPROS,NIOXIN,Densitty Protect - Short ,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHDEPROM,NIOXIN,Densitty Protect -Medium,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHDEPROL,NIOXIN,Densitty Protect - Long ,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHDEREPS,NIOXIN,Density Repair -Short ,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHDEREPM,NIOXIN,Density Repair -Medium,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHDEREPL,NIOXIN,Density Repair -Long ,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHMQHMSH,Moroccan Oil Treatment ,Moroccan quickies intense hydrating mask for dry/frizzy hair  - SHORT ,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHMQHMME,Moroccan Oil Treatment ,Moroccan quickies intense hydrating mask for dry/frizzy hair - MEDIUM,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHMQHMLO,Moroccan Oil Treatment ,Moroccan quickies intense hydrating mask for dry/frizzy hair  - LONG ,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHMRDHSH,Moroccan Oil Treatment ,Moroccan restorative mask - Damaged hair - SHORT,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHMRDHME,Moroccan Oil Treatment ,Moroccan restorative mask - Damaged hair -MEDIUM,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHMRDHLO,Moroccan Oil Treatment ,Moroccan restorative mask - Damaged hair - LONG ,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHMQWMFS,Moroccan Oil Treatment ,Moroccan quickies weightless mask fine hair and thin hair - SHORT,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHMQWMFM,Moroccan Oil Treatment ,Moroccan quickies weightless mask fine hair and thin hair - MEDIUM,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHMQWMFL,Moroccan Oil Treatment ,Moroccan quickies weightless mask fine hair and thin hair - LONG,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHKEPOSS, Wella SP LUXE Oil,Keratin Protect Oil Service - Short ,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHKEPOSM, Wella SP LUXE Oil,Keratin Protect Oil Service - Medium ,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHKEPOSL, Wella SP LUXE Oil,Keratin Protect Oil Service - Long ,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHKEERTS, Wella SP LUXE Oil,Keratin Express  Restore Treatment - Short ,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHKEERTM, Wella SP LUXE Oil,Keratin Express  Restore Treatment - Medium,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHKEERTL, Wella SP LUXE Oil,Keratin Express  Restore Treatment - Long,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHKEIRTS, Wella SP LUXE Oil,Keratin Intense Restore Treatment - Short,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHKEIRTM, Wella SP LUXE Oil,Keratin Intense Restore Treatment -Medium ,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHKEIRTL, Wella SP LUXE Oil,Keratin Intense Restore Treatment - Long ,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,ADV HAIR SPA 
LHCPCOLS,Hair Chalk, Hair chalk party Colouring -Short,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,HAIR COLOURING
LHCPCOLM,Hair Chalk, Hair chalk party Colouring -Medium,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,HAIR COLOURING
LHCPCOLS,Hair Chalk, Hair chalk party Colouring -Long,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,HAIR COLOURING
LBPRWAFA,RAGA WAXING,PREMIUM WAXING - FULL ARMS,STANDARD SERVICE,EXCLUSIVE RATE CARD , PREMIUM WAXING
LBPRWAUA,RAGA WAXING,PREMIUM WAXING - UNDER ARMS,STANDARD SERVICE,EXCLUSIVE RATE CARD , PREMIUM WAXING
LBPRWAFL,RAGA WAXING,PREMIUM WAXING - FULL LEGS,STANDARD SERVICE,EXCLUSIVE RATE CARD , PREMIUM WAXING
LBPRWABO,RAGA WAXING,PREMIUM WAXING - FULL BODY,STANDARD SERVICE,EXCLUSIVE RATE CARD , PREMIUM WAXING
LBPRWAFF,RAGA WAXING,PREMIUM WAXING - FULL FACE,STANDARD SERVICE,EXCLUSIVE RATE CARD , PREMIUM WAXING
LBPRWAHL,RAGA WAXING,PREMIUM WAXING - HALF LEGS,STANDARD SERVICE,EXCLUSIVE RATE CARD , PREMIUM WAXING
LBPRWAUP,RAGA WAXING,PREMIUM WAXING - UPPER LIP,STANDARD SERVICE,EXCLUSIVE RATE CARD , PREMIUM WAXING
LBPRWAHA,RAGA WAXING,PREMIUM WAXING - HALF ARMS,STANDARD SERVICE,EXCLUSIVE RATE CARD , PREMIUM WAXING
LBPRWASI,RAGA WAXING,PREMIUM WAXING - FACE-SIDES,STANDARD SERVICE,EXCLUSIVE RATE CARD , PREMIUM WAXING
LBPRWALB/,RAGA WAXING,PREMIUM WAXING - LOWER BACK,STANDARD SERVICE,EXCLUSIVE RATE CARD , PREMIUM WAXING
LBPRWAUB,RAGA WAXING,PREMIUM WAXING - UPPER BACK,STANDARD SERVICE,EXCLUSIVE RATE CARD , PREMIUM WAXING
LBNGSP10,( Nubar Nails ),Gelicure Shine Polish - 10 Nails ( Nubar),EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,NAIL SERVICE 
LBNANE10,( Nubar Nails ),AcnuGel Nail Extentions - 10 Nails ( Nubar),EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,NAIL SERVICE 
LBNIPA10,( Nubar Nails ),Impress and Kiss - Printed attachments - 10 Nails ( Nubar),EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,NAIL SERVICE 
LBNINA10,( Nubar Nails ),Impress and Kiss - Natural attachments - 10 Nails ( Nubar),EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,NAIL SERVICE 
LBNPNW10,( Nubar Nails ),Printed Kiss Nail Wraps - 10 Nails ( Nubar),EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,NAIL SERVICE 
LBNPLP10,( Nubar Nails ),Nubar Premium Nail Lacquer polish - 10 Nails ,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,NAIL SERVICE 
LBNANE05,( Nubar Nails ),AcnuGel Nail Extentions - 5 Nails ,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,NAIL SERVICE 
LBNTRS01,( Nubar Nails ),Tip repair service ,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,NAIL SERVICE 
LBGEPO10,( Nail Spa ),GEL POLISH - 10 NAILS   ,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,NAIL SERVICE 
LBNENS10,( Nail Spa ),NAIL EXTENSIONS NEW SET (INCLUDING GEL POLISH) - 10 NAILS ,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,NAIL SERVICE 
LBNENF10,( Nail Spa ),NAIL EXTENSIONS NEW SET FRENCH - 10 NAILS ,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,NAIL SERVICE 
LBREGP10,( Nail Spa ),REFILL (INCLUDING GEL POLISH) - 10 NAILS ,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,NAIL SERVICE 
LBREFR10,( Nail Spa ),REFILL FRENCH - 10 NAILS ,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,NAIL SERVICE 
LBGPTO10,( Nail Spa ),GEL POLISH - TOES  -10 NAILS ,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,NAIL SERVICE 
LBNETO10,( Nail Spa ),NAIL EXTENSIONS TOES (INCLUDING GEL POLISH) - 10 NAILS ,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,NAIL SERVICE 
LBRETO10,( Nail Spa ),REFILL - TOES - 10 NAILS ,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,NAIL SERVICE 
LBNASI10,( Nail Spa ),NAIL ART - SIMPLE -1  NAIL,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,NAIL SERVICE 
LBNADE10,( Nail Spa ),NAIL ART - DETAILED  - 1 NAIL ,EXCLUSIVE SERVICE,EXCLUSIVE RATE CARD ,NAIL SERVICE 
LSKEGSVM,Casamara Summer Facial ,EXPRESS GLOW SERVICE WITH VITAMIN VEGATABLE MASK,STANDARD SERVICE,EXCLUSIVE RATE CARD ,FACIAL
LSKEGWGM,Casamara Summer Facial ,EXPRESS GLOW SERVICE WITH GREEN MASK,STANDARD SERVICE,EXCLUSIVE RATE CARD ,FACIAL
LSKESWRM,Casamara Summer Facial ,EXPRESS GLOW SERVICE WITH REAFFIRMING MASK,STANDARD SERVICE,EXCLUSIVE RATE CARD ,FACIAL
LSKEGSGM,Casamara Summer Facial ,EXPRESS GLOW SERVICE WITH GOJI MASK,STANDARD SERVICE,EXCLUSIVE RATE CARD ,FACIAL
LSKEGSWM,Casamara Summer Facial ,EXPRESS GLOW SERVICE WITH GOLD MASK,STANDARD SERVICE,EXCLUSIVE RATE CARD ,FACIAL
LSKVVMTF,Casamara Summer Facial ,VITAMIN VEGATABLE MASK - ADD  ON TO FACIALS,STANDARD SERVICE,EXCLUSIVE RATE CARD ,FACIAL
LSKGMTFA,Casamara Summer Facial ,GREEN MASK - ADD  ON TO FACIALS,STANDARD SERVICE,EXCLUSIVE RATE CARD ,FACIAL
LSKRMATF,Casamara Summer Facial ,REAFFIRMING MASK  - ADD  ON TO FACIALS,STANDARD SERVICE,EXCLUSIVE RATE CARD ,FACIAL
LSKGMATF,Casamara Summer Facial ,GOJI MASK - ADD  ON TO FACIALS,STANDARD SERVICE,EXCLUSIVE RATE CARD ,FACIAL
LSKGMOTF,Casamara Summer Facial ,GOLD MASK - ADD  ON TO FACIALS,STANDARD SERVICE,EXCLUSIVE RATE CARD ,FACIAL
KHHCUTWE,General Services ,TRENDY KIDDY CUT,Standard Service,Standard rate card,Hair Cut 
GHHCUTNR,General Services ,HAIR CUT ,Standard Service,Standard rate card,Hair Cut 
GHHCUTCS,General Services ,HAIR MAKEOVER ,Standard Service,Standard rate card,Hair Cut 
GSSHVGNR,General Services ,SHAVING ,Standard Service,Standard rate card,Beard Styling
GSBTRMNR,General Services ,BEARD TRIM,Standard Service,Standard rate card,Beard Styling
GSBSTYSP,General Services ,BEARD STYLING ,Standard Service,Standard rate card,Beard Styling
GHHSHAVE,General Services ,HEAD SHAVE ,Standard Service,Standard rate card,Beard Styling
GHCONDNR,General Services ,HAIR CONDITIONING,Standard Service,Standard rate card,Shampoo & Conditioning 
GHSHAMSP,General Services ,SHAMPOO SPECIAL,Standard Service,Standard rate card,Shampoo & Conditioning 
GHHMSGCO,General Services ,HEAD MASSAGE- COCO NOURISHER ,Standard Service,Standard rate card,Head Message
GHHMSGMI,General Services ,HEAD MASSAGE- MENTHOL CHILLER ,Standard Service,Standard rate card,Head Message
GHHMSGOL,General Services ,HEAD MASSAGE-OLIVE BLISS,Standard Service,Standard rate card,Head Message
GHHMSGAL,General Services ,HEAD MASSAGE-ALMOND INDULGENCE ,Standard Service,Standard rate card,Head Message
GHEXOSNR,General Services ,EXPRESS OIL SPA,Standard Service,Standard rate card,Hair Spa
GHHSPASM,General Services ,HAIR SPA SHORT & MEDIUM,Standard Service,Standard rate card,Hair Spa
GHCONDDP,General Services ,DEEP CONDITIONING  OIL SPA ,Standard Service,Standard rate card,Hair Spa
GHDEHSPA,General Services ,DETOX HAIR SPA,Standard Service,Standard rate card,Hair Spa
GHANDTNR,General Services ,ANTI DANDRUFF TREATMENT,Standard Service,Standard rate card,Basic Hair tmt 
GSMOUCNR,General Services ,MOUSTACHE COLORING ,Standard Service,Standard rate card,Beard colouring
GSBDCLNR,General Services ,BEARD COLOUR -REGULAR,Standard Service,Standard rate card,Beard colouring
GSBDCLSP,General Services ,BEARD COLOUR -SPECIAL,Standard Service,Standard rate card,Beard Styling
GHHENANR,General Services ,HENNA ,Standard Service,Standard rate card,Beard Styling
GHCOLROS,General Services ,HAIR COLOURING - PER STREAK (MIN 4 STREAKS),Standard Service,Standard rate card,Hair coloring
GHSGPREM,General Services ,ADVANCED STREAKS - PER STREAK - MIN OF 4 STREAKS,Standard Service,Standard rate card,Hair coloring
GHECOLNR,General Services ,PRO 10 COLOURING ,Standard Service,Standard rate card,Hair coloring
GHCOLRNL,General Services ,NATURAL BLACK/BROWN COLOURING,Standard Service,Standard rate card,Hair coloring
GHCOLRGL,General Services ,GLOBAL HAIR COLOURING ,Standard Service,Standard rate card,Hair coloring
GHCGPRGL,General Services ,PREMIUM HAIR COLOURING - AMMONIA FREE,Standard Service,Standard rate card,Hair coloring
GHCOLRAD,General Services ,TRENDY COLOURING  ( INCLUDING PRE LIGHTING),Standard Service,Standard rate card,Hair coloring
GBBMSGNR,General Services ,BODY MASSAGE-REGULAR,Standard Service,Standard rate card,Body Care
GBBMSGSB,General Services ,BODY MASSAGE WITH SCRUB,Standard Service,Standard rate card,Body Care
GBMANINR,General Services ,MANICURE -REGULAR,Standard Service,Standard rate card,Manicure & Pedicure 
GBCBSMNR,General Services ,CITRUS BLOSSOM SPA MANICURE,Standard Service,Standard rate card,Manicure & Pedicure 
GBMANIPF,General Services ,MANICURE -PARAFFIN,Standard Service,Standard rate card,Exotic Manicure and Pedicure 
GBCPSMNR,General Services ,CITRUS PORE PURIFYING SPA MANICURE,Standard Service,Standard rate card,Exotic Manicure and Pedicure 
GBRSSMNR,General Services ,CITRUS ROYAL SHIMMER SPA MANICURE,Standard Service,Standard rate card,Exotic Manicure and Pedicure 
GBMIOKMA,General Services ,MINT - O - KOOL MANICURE - ,Standard Service,Standard rate card,Exotic Manicure and Pedicure 
GBPEDINR,General Services ,PEDICURE - REGULAR,Standard Service,Standard rate card,Manicure & Pedicure 
GBCBSPNR,General Services ,CITRUS BLOSSOM SPA PEDICURE,Standard Service,Standard rate card,Manicure & Pedicure 
GBPEDIPF,General Services ,PEDICURE - PARAFFIN,Standard Service,Standard rate card,Exotic Manicure and Pedicure 
GBCPSPNR,General Services ,CITRUS PORE PURIFYING SPA PEDICURE,Standard Service,Standard rate card,Exotic Manicure and Pedicure 
GBRSSPNR,General Services ,CITRUS ROYAL SHIMMER SPA PEDICURE,Standard Service,Standard rate card,Exotic Manicure and Pedicure 
GBMIOKPE,General Services ,MINT - O - KOOL PEDICURE -  ,Standard Service,Standard rate card,Exotic Manicure and Pedicure 
GBPEDICH,General Services ,CHOCOLATE FOOT SPA,Standard Service,Standard rate card,Exotic Manicure and Pedicure 
GBPEDIPC,General Services ,PINACOLADA FOOT SPA,Standard Service,Standard rate card,Exotic Manicure and Pedicure 
GSEYTRAD,General Services ,EYE TREATMENT - ADVANCED,Standard Service,Standard rate card,Facial
GSFACLMN,General Services ,CLEAN UP,Standard Service,Standard rate card,Facial
GSFACLFS,General Services ,FACIAL - FRUIT SECRETS,Standard Service,Standard rate card,Facial
GSFACLHS,General Services ,FACIAL - HERBAL SECRETS,Standard Service,Standard rate card,Exotic Facial
